Fecha Movimiento,Fecha Valor,Referencia,Descripción,Débito,Crédito,Saldo,Código,Sucursal
31/03/2026,31/03/2026,TRF-001,TRANSFERENCIA BANCO ITAU,0.00,5000.00,10500.00,TRF,179
30/03/2026,30/03/2026,CHQ-002,DEPOSITO CHEQUE EMPRESA,0.00,2500.00,5500.00,CHQ,179
29/03/2026,29/03/2026,EXT-003,EXTRACCION CAJERO AUTOMATICO,500.00,0.00,3000.00,EXT,179
28/03/2026,28/03/2026,DCO-004,DESCUENTO COMISION MANTENIMIENTO,45.50,0.00,3545.50,DCO,179
27/03/2026,27/03/2026,INT-005,INTERES ACREDITADO,0.00,12.35,3533.15,INT,179
26/03/2026,26/03/2026,PGO-006,PAGO SERVICIOS ONLINE,120.00,0.00,3413.15,PGO,179
25/03/2026,25/03/2026,TRF-007,TRANSFERENCIA PERSONAL,0.00,1500.00,3533.15,TRF,179
24/03/2026,24/03/2026,EXT-008,EXTRACCION PUNTOS ATM,250.00,0.00,2033.15,EXT,179
23/03/2026,23/03/2026,RCH-009,RECHAZO POR FONDOS INSUFICIENTES,0.00,0.00,2033.15,RCH,179
22/03/2026,22/03/2026,DCO-010,DESCUENTO INTERES SOBREGIRO,25.00,0.00,2033.15,DCO,179
21/03/2026,21/03/2026,DEP-011,DEPOSITO EFECTIVO VENTANILLA,0.00,3000.00,2058.15,DEP,179
20/03/2026,20/03/2026,TRF-012,TRANSFERENCIA RECIBIDA EMPRESA,0.00,8000.00,5058.15,TRF,179
19/03/2026,19/03/2026,PGO-013,PAGO TARJETA CREDITO VISA,2500.00,0.00,13058.15,PGO,179
18/03/2026,18/03/2026,EXT-014,EXTRACCION POR VENTANILLA,1000.00,0.00,10558.15,EXT,179
17/03/2026,17/03/2026,INT-015,INTERES COMPENSATORIO,0.00,5.50,11558.15,INT,179
