Fecha,Hora,Movimiento,Débito,Crédito,Saldo,Tipo,Comprobante,Referencia,Divisa
31/03/2026,14:30,TRANSFERENCIA BANCO BROU,0.00,5000.00,10500.00,TRF,TRF-001,ITAU-123456,UYU
30/03/2026,10:15,PAGO TARJETA CREDITO VISA,2500.00,0.00,5500.00,PTC,PTC-001,VISA-789,UYU
29/03/2026,09:45,DEPOSITO CHEQUE,0.00,3000.00,8000.00,CHQ,CHQ-001,CHEQUE-456,UYU
28/03/2026,16:20,EXTRACCION CAJERO AUTOMATICO,500.00,0.00,5000.00,EXT,EXT-001,ATM-789,UYU
27/03/2026,08:00,INTERES CAPITALIZADO,0.00,15.75,5515.00,INT,INT-001,AUTO,UYU
26/03/2026,12:45,COMISION CUENTA CORRIENTE,30.00,0.00,5485.00,COM,COM-001,AUTO,UYU
25/03/2026,15:30,TRANSFERENCIA INTERNACIONAL,2000.00,0.00,5515.00,TRI,TRI-001,SWIFT-123,USD
24/03/2026,11:20,CONVERSION DE MONEDA,0.00,75000.00,5590.00,CVT,CVT-001,USD-UYU,UYU
23/03/2026,13:15,PAGO SERVICIOS,450.00,0.00,5140.00,PGO,PGO-001,ANDE-001,UYU
22/03/2026,09:30,DEPOSITO EFECTIVO,0.00,2000.00,7140.00,DEP,DEP-001,MANUAL,UYU
21/03/2026,14:00,TRANSFERENCIA RECIBIDA,0.00,4500.00,11640.00,TRF,TRF-002,ITAU-654321,UYU
20/03/2026,10:30,RETIRO CON TARJETA DEBITO,350.00,0.00,11290.00,RTD,RTD-001,MasterCard,UYU
19/03/2026,15:45,PAGO IMPUESTOS,1800.50,0.00,9489.50,IMP,IMP-001,DGI-123,UYU
18/03/2026,12:00,INTERES POR SOBREGIRO,25.00,0.00,9514.50,SGR,SGR-001,AUTO,UYU
17/03/2026,08:30,DEPOSITO TRANSFERENCIA ELECTRONICA,0.00,3500.00,13014.50,TRE,TRE-001,SPI-001,UYU
