Fecha Operación,Fecha Valor,Referencia,Concepto,Importe Débito,Importe Crédito,Saldo,Centro,Producto,Moneda
31/03/2026,31/03/2026,OP-123456,TRANSFERENCIA DE TERCEROS,0.00,5000.00,10500.00,0500,CUENTA VISTA,UYU
30/03/2026,30/03/2026,OP-123457,PAGO IMPUESTOS,1800.50,0.00,5500.00,0500,CUENTA CORRIENTE,UYU
29/03/2026,29/03/2026,OP-123458,DEPOSITO EFECTIVO,0.00,3000.00,7300.50,0500,CAJA DE AHORRO,UYU
28/03/2026,28/03/2026,OP-123459,COMISIÓN MANTENIMIENTO,50.00,0.00,4300.50,0500,CUENTA VISTA,UYU
27/03/2026,27/03/2026,OP-123460,TRANSFERENCIA INTERNACIONAL,2000.00,0.00,4350.50,0500,CUENTA VISTA,USD
26/03/2026,26/03/2026,OP-123461,INTERES ACREDITADO,0.00,12.50,4363.00,0500,CUENTA VISTA,UYU
25/03/2026,25/03/2026,OP-123462,PAGO SERVICIOS ONLINE,120.00,0.00,4243.00,0500,CUENTA VISTA,UYU
24/03/2026,24/03/2026,OP-123463,DEPOSITO CHEQUE,0.00,2500.00,6743.00,0500,CUENTA CORRIENTE,UYU
23/03/2026,23/03/2026,OP-123464,EXTRACCION CAJERO,500.00,0.00,6243.00,0500,CUENTA VISTA,UYU
22/03/2026,22/03/2026,OP-123465,RECHAZO CHEQUE,0.00,0.00,6243.00,0500,CUENTA CORRIENTE,UYU
21/03/2026,21/03/2026,OP-123466,DEPOSITO TRANSFERENCIA,0.00,4000.00,10243.00,0500,CAJA DE AHORRO,UYU
20/03/2026,20/03/2026,OP-123467,PAGO TARJETA CREDITO,3000.00,0.00,7243.00,0500,CUENTA VISTA,UYU
19/03/2026,19/03/2026,OP-123468,TRANSFERENCIA RECIBIDA,0.00,7500.00,14743.00,0500,CUENTA VISTA,UYU
18/03/2026,18/03/2026,OP-123469,GASTO COMISIÓN ESPECIAL,35.50,0.00,14707.50,0500,CUENTA VISTA,UYU
17/03/2026,17/03/2026,OP-123470,CAMBIO MONEDA EXTRANJERA,0.00,200.00,14907.50,0500,CUENTA VISTA,USD
