Fecha,Hora,Categoría,Comercio,Ciudad,Monto,Moneda,Estado,Referencia,Saldo_Posterior,Tipo_Operación,Cuotas
2026-03-31,14:35,Supermercado,JUMBO,Montevideo,543.21,UYU,COMPLETADO,POS-123456,5456.79,COMPRA,0
2026-03-30,10:20,Salud,FARMACIA ABC,Montevideo,120.50,UYU,COMPLETADO,POS-123457,5977.29,COMPRA,0
2026-03-29,16:45,Entretenimiento,CINE PALACE,Montevideo,250.00,UYU,COMPLETADO,POS-123458,6227.29,COMPRA,0
2026-03-28,09:15,Transporte,UBER,Online,380.50,UYU,COMPLETADO,POS-123459,6607.79,COMPRA,0
2026-03-27,13:50,Ingresos,RECARGA MANUAL,Online,2000.00,UYU,COMPLETADO,TRF-123460,8607.79,RECARGA,0
2026-03-26,15:20,Supermercado,CARREFOUR,Montevideo,890.75,UYU,COMPLETADO,POS-123461,7717.04,COMPRA,0
2026-03-25,11:30,Entretenimiento,NETFLIX,Online,179.99,UYU,COMPLETADO,POS-123462,7537.05,COMPRA,12
2026-03-24,08:45,Salud,CLINICA PRIVADA,Montevideo,1500.00,UYU,COMPLETADO,POS-123463,6037.05,COMPRA,3
2026-03-23,14:15,Compras,TIENDA ROPA,Montevideo,1200.00,UYU,COMPLETADO,POS-123464,4837.05,COMPRA,1
2026-03-22,12:00,Transporte,COMBUSTIBLE ANCAP,Montevideo,350.00,UYU,COMPLETADO,POS-123465,4487.05,COMPRA,0
2026-03-21,09:30,Compras,AMAZON,Online,890.50,UYU,COMPLETADO,WEB-123466,3596.55,COMPRA,0
2026-03-20,16:50,Dinero,TRANSFERENCIA RECIBIDA,Online,5000.00,UYU,COMPLETADO,TRF-123467,8596.55,TRANSFERENCIA,0
2026-03-19,13:20,Compras,EBAY,Online,450.00,UYU,COMPLETADO,WEB-123468,8146.55,COMPRA,0
2026-03-18,10:45,Dinero,RETIRO EN CAJERO,Montevideo,500.00,UYU,COMPLETADO,ATM-123469,7646.55,RETIRO,0
2026-03-17,15:30,Entretenimiento,RESTAURANTE,Montevideo,890.00,UYU,COMPLETADO,POS-123470,6756.55,COMPRA,0
